algo,seed,update,episode,train_reward,train_objective,train_feasible_rate,train_min_sinr_db,actor_loss,critic_loss,entropy,alpha_entropy,approx_kl,clip_fraction,grad_norm,update_time_sec
heppo,1,19,4864,-12986.398675393724,1278.938824590191,0.0,-15.834291350946874,0.020496378652751446,20021549.0,0.7190468609333038,0.000799450949085726,0.05615194638585308,0.263671875,45996.271484375,11.556010573985986
heppo,1,20,5120,-12982.312831749834,1294.8899172857655,0.0,-15.513518435732275,0.006352633237838745,20498043.0,0.7190334647893906,0.0008154399680674405,0.13124243045848516,0.50439453125,46326.5859375,13.235222810995765
heppo,1,21,5376,-12865.599598845152,1274.3944719372246,0.0,-15.56447056880071,0.027988547924906015,19853223.0,0.7190122157335281,0.0008317487674287893,0.11774911234783758,0.462890625,45889.9912109375,13.195688073989004
heppo,1,22,5632,-13077.769880214175,1300.4793689159178,0.0,-16.000411381899575,0.019377370830625296,20474814.0,0.7189948856830597,0.0008483837427773652,0.12311701041960532,0.48779296875,46693.787109375,13.123668111045845
heppo,1,23,5888,-12970.472135902355,1287.8883793942637,0.0,-15.603968811850468,0.005210652714595199,20551673.0,0.7189917117357254,0.0008653514176329125,0.13208947516977787,0.5107421875,46907.68359375,13.13830146798864
heppo,1,24,6144,-13110.866976639996,1282.8046089931663,0.0,-16.060657676328134,0.005003173835575581,20204898.5,0.7189961969852448,0.0008826584459855708,0.12253950908780098,0.4873046875,47283.98046875,13.278103781980462
heppo,1,25,6400,-12772.272883028965,1295.3967040898665,0.0,-15.912280314670966,0.018171846866607666,19549694.0,0.7190115600824356,0.0009003116149052822,0.12757700681692086,0.4873046875,46080.8779296875,14.430465209996328
heppo,1,26,6656,-13373.29378828594,1337.8914251988924,0.0,-16.213990199004773,0.04362960020080209,3971100.4375,0.7190362960100174,0.0008823053826071765,0.21599911153316498,0.38623046875,18639.94677734375,15.974170411005616
heppo,1,27,6912,-12912.17689780031,1285.019921793522,0.0,-15.49283360609408,0.035460823215544224,3685373.0625,0.7190689891576767,0.000864659274955033,0.2356138825416565,0.42578125,18019.265625,16.080131285008974
heppo,1,28,7168,-12613.960485085337,1261.1897654605154,0.0,-15.490588311776454,0.03827578900381923,3527072.625,0.7190834432840347,0.0008473660894559322,0.2400495707988739,0.42333984375,17621.181640625,16.010179108008742
heppo,1,29,7424,-12748.336451173009,1247.2655165750612,0.0,-15.289382126570803,0.03491916158236563,3577224.375,0.7190897166728973,0.0008304187676668136,0.23511550948023796,0.42724609375,17824.82568359375,16.036563880974427
heppo,1,30,7680,-13242.800535031805,1302.0767098056187,0.0,-16.042938703384973,0.04041177174076438,3866348.3125,0.7190924882888794,0.0008138103923134773,0.25436993688344955,0.43994140625,18532.82861328125,15.913599941995926
heppo,1,31,7936,-12477.935655340318,1257.4322326131971,0.0,-15.697115411494337,0.047840939834713936,3514143.0,0.7191063165664673,0.0007975341844672077,0.25837815552949905,0.443359375,17475.80615234375,16.100116731016897
heppo,1,32,8192,-12719.749249127963,1255.839304267053,0.0,-15.373162839534565,0.0472257686778903,3542625.0,0.719125047326088,0.0007815835007778635,0.2497866339981556,0.4384765625,17825.1611328125,16.014425429981202
heppo,1,33,8448,-12563.330823224042,1250.9747517272074,0.0,-15.428160419739182,0.04475145949982107,3524982.0,0.7191382646560669,0.0007659518307623062,0.232859767973423,0.412109375,17618.6298828125,15.192736892029643
